CurrentClinicName1,CurrentClinicCity,CurrentClinicState,TotNumCycles1,TotNumCycles2
UNIVERSITY OF CHICAGO MEDICINE CENTER FOR REPRODUCTIVE MEDICINE AND FERTILITY,CHICAGO,ILLINOIS,55,35
UNIVERSITY OF ILLINOIS AT CHICAGO IVF PROGRAM,CHICAGO,ILLINOIS,63,50
VIOS FERTILITY INSTITUTE-CHICAGO,CHICAGO,ILLINOIS,119,114
WOMEN'S HEALTH CONSULTANTS,CHICAGO,ILLINOIS,97,60
CENTER FOR REPRODUCTIVE HEALTH/JOLIET IVF,CREST HILL,ILLINOIS,138,36
MIDWEST FERTILITY CENTER,DOWNERS GROVE,ILLINOIS,58,29
"DAVIES FERTILITY & IVF SPECIALISTS, SC",GLENVIEW,ILLINOIS,173,106
ADVANCED FERTILITY CENTER OF CHICAGO,GURNEE,ILLINOIS,437,252
FERTILITY CENTERS OF ILLINOIS-HIGHLAND PARK IVF CENTER,HIGHLAND PARK,ILLINOIS,693,497
HINSDALE CENTER FOR REPRODUCTION,HINSDALE,ILLINOIS,30,21
INVIA FERTILITY SPECIALISTS,HOFFMAN ESTATES,ILLINOIS,378,210
THE ADVANCED IVF INSTITUTE,NAPERVILLE,ILLINOIS,264,154
IVF1,NAPERVILLE,ILLINOIS,349,182
REPRODUCTIVE MEDICINE INSTITUTE,OAK BROOK,ILLINOIS,574,385
"DANIEL ROSTEIN, MD, SC",OAK BROOK,ILLINOIS,1,0
ADVANCED REPRODUCTIVE CENTER,ROCKFORD,ILLINOIS,80,27
CHICAGO IVF,SKOKIE,ILLINOIS,266,118
NORTH SHORE FERTILITY,SKOKIE,ILLINOIS,90,41
SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF MEDICINE FERTILITY AND IVF CENTER,SPRINGFIELD,ILLINOIS,105,49
VIOS FERTILITY INSTITUTE-SWANSEA,SWANSEA,ILLINOIS,247,116
"SETH LEVRANT, MD, PC",TINLEY PARK,ILLINOIS,45,38
MIDWEST FERTILITY SPECIALISTS,CARMEL,INDIANA,557,244
"ADVANCED REPRODUCTION INSTITUTE, LLC",EVANSVILLE,INDIANA,78,34
ADVANCED FERTILITY GROUP,INDIANAPOLIS,INDIANA,39,21
COMMUNITY FERTILITY SPECIALTY CARE,INDIANAPOLIS,INDIANA,101,37
"FAMILY BEGINNINGS, PC",INDIANAPOLIS,INDIANA,133,62
HENRY FERTILITY DBA,INDIANAPOLIS,INDIANA,100,23
INDIANA FERTILITY INSTITUTE,INDIANAPOLIS,INDIANA,370,131
INDIANA UNIVERSITY HOSPITAL,INDIANAPOLIS,INDIANA,16,1
BOSTON IVF AT THE WOMEN'S HOSPITAL,NEWBURGH,INDIANA,218,44
"MID-IOWA FERTILITY, PC",CLIVE,IOWA,456,144
UNIVERSITY OF IOWA HOSPITALS AND CLINICS,IOWA CITY,IOWA,460,204
"MIDWEST REPRODUCTIVE CENTER, PA",OLATHE,KANSAS,284,89
CENTER FOR ADVANCED REPRODUCTIVE MEDICINE,OVERLAND PARK,KANSAS,421,171
REPRODUCTIVE RESOURCE CENTER OF GREATER KANSAS CITY,OVERLAND PARK,KANSAS,243,81
THE CENTER FOR REPRODUCTIVE MEDICINE,WICHITA,KANSAS,80,26
BLUEGRASS FERTILITY CENTER,LEXINGTON,KENTUCKY,134,37
